Stock Code,Company Description
AACG,"ATA Creativity Global, together with its subsidiaries, provides educational services to individual students through its training center network in China and internationally. Its educational services include portfolio training, research-based learning, overseas study counselling, in-school art classes through cooperation with high schools, foreign language training services, junior art education, in-school art classes, junior art education, and other related educational services to its students. The company also offers online courses for students. The company was formerly known as ATA Inc. and changed its name to ATA Creativity Global in September 2019. ATA Creativity Global was founded in 1999 and is headquartered in Beijing, China."
AADI,"Aadi Bioscience, Inc., a clinical-stage biopharmaceutical company, engages in developing and commercializing precision therapies for genetically defined cancers with alterations in mTOR pathway genes. Its lead drug product candidate comprises FYARRO, a form of sirolimus bound to albumin. The company is also involved in evaluating FYARRO in cancers with known mTOR pathway activation, including tumor agnostic indications targeting specific genomic alterations that activate the mTOR pathway. Aadi Bioscience, Inc. was incorporated in 2007 and is headquartered in Pacific Palisades, California."
AAL,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Doha, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2022, it operated a mainline fleet of 925 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1926 and is headquartered in Fort Worth, Texas."
AAOI,"Applied Optoelectronics, Inc. designs, manufactures, and sells various fiber-optic networking products worldwide. It offers optical modules, lasers, subassemblies, transmitters and transceivers, and turn-key equipment, as well as headend, node, and distribution equipment. The company sells its products to internet data center operators, cable television and telecom equipment manufacturers, and internet service providers through its direct and indirect sales channels. Applied Optoelectronics, Inc. was incorporated in 1997 and is headquartered in Sugar Land, Texas."
AAON,"AAON, Inc., together with its subsidiaries, engages in engineering, manufacturing, marketing, and selling air conditioning and heating equipment in the United States and Canada. The company operates through three segments: AAON Oklahoma, AAON Coil Products, and BASX. It offers rooftop units, data center cooling solutions, cleanroom systems, chillers, packaged outdoor mechanical rooms, air handling units, makeup air units, energy recovery units, condensing units, geothermal/water-source heat pumps, coils, and controls. The company markets and sells its products to retail, manufacturing, educational, lodging, supermarket, data centers, medical and pharmaceutical, and other commercial industries. It sells its products through a network of independent manufacturer representative organizations and internal sales force, as well as online. The company was incorporated in 1987 and is based in Tulsa, Oklahoma."
AAPL,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California."
ABCB,"Ameris Bancorp operates as the bank holding company for Ameris Bank that provides range of banking services to retail and commercial customers primarily in Georgia, Alabama, Florida, North Carolina, and South Carolina. It operates through five segments: Banking Division, Retail Mortgage Division, Warehouse Lending Division, SBA Division, and Premium Finance Division. The company offers commercial and retail checking, regular interest-bearing savings, money market, individual retirement, and certificates of deposit accounts. It also provides commercial real estate, residential real estate mortgage, agricultural, and commercial and industrial loans; consumer loans, including motor vehicle, home improvement, and home equity loans, as well as loans secured by savings accounts and personal credit lines. In addition, the company originates, administers, and services commercial insurance premium loans and small business administration loans. It operates full service domestic banking offices, and mortgage and loan production offices. The company was founded in 1971 and is headquartered in Atlanta, Georgia."
ABCL,"AbCellera Biologics Inc. builds an engine for antibody drug discovery and development. Its engine discovers antibodies from natural immune responses, which are pre-enriched for antibodies. The company had discovery programs that are either completed, in progress, or under contract with partners. It has a research collaboration and license agreement with Eli Lilly and Company; and a research collaboration with Confo Therapeutics for the discovery of therapeutic antibody candidates targeting two undisclosed GPCR targets. The company was incorporated in 2012 and is headquartered in Vancouver, Canada."
ABCM,"Abcam plc, a life science company, focuses on identifying, developing, and distributing reagents and tools for scientific research, diagnostics, and drug discovery. The company's principal products include primary and secondary antibodies; conjugated antibodies and conjugation kits; singleplex immunoassays; proteins and peptides that include cytokines; edited cell lines and lysates; and various other products, including cellular activity kits, biochemicals, and cell signaling pathway tools. It serves scientists and researchers in academic institutions and research institutes, as well as in pharmaceutical, biotechnology, and diagnostics companies. The company has operations in the Americas, Europe, the Middle East, Africa, China, Japan, and rest of the Asia Pacific. It sells its products online. The company was incorporated in 1998 and is headquartered in Cambridge, the United Kingdom."
ABEO,"Abeona Therapeutics Inc., a clinical-stage biopharmaceutical company, develops gene and cell therapies for life-threatening diseases. Its lead clinical program is EB-101, an autologous, engineered cell therapy that is in Phase III clinical trial for recessive dystrophic epidermolysis bullosa. The company also develops ABO-503 for the treatment of X-linked retinoschisis; ABO-504 for the treatment of stargardt disease; and ABO-505 for the treatment of autosomal dominant optic atrophy. In addition, it is developing AAV-based gene therapy through its AIM vector platform programs. The company was formerly known as PlasmaTech Biopharmaceuticals, Inc. and changed its name to Abeona Therapeutics Inc. in June 2015. Abeona Therapeutics Inc. is headquartered in New York, New York."
ABIO,"ARCA biopharma, Inc., a clinical development stage biopharmaceutical company, engages in the development and commercialization of genetically targeted therapies for cardiovascular diseases. Its lead product candidate is Gencaro, a pharmacogenetically-targeted beta-adrenergic receptor antagonist that has completed Phase IIb trial for the treatment of atrial fibrillation in patients with chronic heart failure. It is also developing Recombinant Nematode Anticoagulant Protein c2 (rNAPc2) (AB201), a protein therapeutic that is in Phase IIb clinical trial for the treatment for COVID-19. ARCA biopharma, Inc. has a collaboration agreement with LabCorp to develop genetic test for GENETIC-AF clinical trial. The company was founded in 2004 and is headquartered in Westminster, Colorado."
